Base Item Code,"Retailer 
Item 
Code",Description,Category,"Reg 
Price",Base LIG Flag,Rank By Visit,Rank By Sales,Rank By Price,Visits(Base Appeared)#,(Visits Base Appeared)%,A1 Item Code,A1 Retailer Item Code,A1 Item Description,A1 LIG Flag,Rank By Visit,Rank By Sales,Rank By Price,Visits(Base Item and A1 Purchased)#,Visits(Base Item and A1 Purchased)%,A2 Item Code
45468,93148,BANANA-YELLOW--,FRUIT,0.589999974,0,2,3,43016,274878,0.094551356,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,11719,4.26,52473
7254,8981434,F-BYET SHRED CHSE 8OZ 63,CHEESE,3.190000057,1,8,9,35700,65986,0.022697581,15949,8719,BYET GRADE A LARGE WHITE,0,20,12,35789,3226,4.89,45468
8056,8979901,F-FRISKIES MEATY BITS 5.5Z 12,NOS Davidson,1.389999986,1,9,87,42760,65508,0.022533161,8069,8979914,F-FANCY FEAST 3OZ 242,1,16,90,42244,2622,4.00,45468
8056,8979901,F-FRISKIES MEATY BITS 5.5Z 12,NOS Davidson,1.389999986,1,9,87,42760,65508,0.022533161,8061,8979906,F-FRSKS CAT FOOD 5.50OZ,1,658,3047,42453,2239,3.42,52473
60852,5.10E+13,CHICKEN BNLS SKINLESS BREAST,RDM WT MISC-MT,3.99000001,0,10,2,30693,64627,0.022230118,60769,5.10E+13,GRND BEEF 80% LEAN 20% BP,0,12,1,22544,4924,7.62,45468
8618,8981153,F-BARILLA PASTA 99,PASTA,NA,1,11,37,38834,60103,0.020673972,8762,8980023,F-PREGO PASTA SAUCE 260,1,83,117,32490,2868,4.77,45468
60769,5.10E+13,GRND BEEF 80% LEAN 20% BP,RDM WT MISC-MT,5.289999962,0,12,1,22544,59106,0.020331028,60852,5.10E+13,CHICKEN BNLS SKINLESS BREAST,0,10,2,30693,4924,8.33,45468
7157,8981342,F-CABOT BARS 8OZ 135,CHEESE,4.590000153,1,13,13,27234,56028,0.019272271,7140,8981326,F-CABOT BUTTER QTRS 752,1,78,46,19222,1977,3.53,45468
45909,94110,PEPPERS GREEN MED/LG,VEG,1.99000001,0,15,64,40548,52282,0.017983738,45865,94194,CUCUMBER S/S,0,21,88,42632,4860,9.30,45468
45909,94110,PEPPERS GREEN MED/LG,VEG,1.99000001,0,15,64,40548,52282,0.017983738,46070,94024,ONIONS SWEET,0,49,283,42184,4636,8.87,45468
8069,8979914,F-FANCY FEAST 3OZ 242,CAT FOOD,1.289999962,1,16,90,42244,51733,0.017794896,8056,8979901,F-FRISKIES MEATY BITS 5.5Z 12,1,9,87,42760,2622,5.07,45468
8069,8979914,F-FANCY FEAST 3OZ 242,CAT FOOD,1.289999962,1,16,90,42244,51733,0.017794896,8094,8980640,F-Family Group 1349,1,166,262,34442,1605,3.10,8056
15949,8719,BYET GRADE A LARGE WHITE,EGGS,3.089999914,0,20,12,35789,49553,0.017045028,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,3226,6.51,45468
15949,8719,BYET GRADE A LARGE WHITE,EGGS,3.089999914,0,20,12,35789,49553,0.017045028,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,3093,6.24,45468
45865,94194,CUCUMBER S/S,VEG,0.99000001,0,21,88,42632,46585,0.016024109,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,4860,10.43,45468
45865,94194,CUCUMBER S/S,VEG,0.99000001,0,21,88,42632,46585,0.016024109,46216,91908,TOMATOES CLUSTER ON THE VINE,0,27,38,36412,4503,9.67,45468
46213,94180,TOMATO HOT HOUSE,VEG,2.99000001,0,22,33,36411,45538,0.015663966,45865,94194,CUCUMBER S/S,0,21,88,42632,4223,9.27,45468
46213,94180,TOMATO HOT HOUSE,VEG,2.99000001,0,22,33,36411,45538,0.015663966,45826,93944,LETTUCE ICEBERG,0,59,93,36387,3588,7.88,45468
7100,8981286,F-FAMILY GROUP 1341,CANDY BARS,1.590000033,1,23,104,41521,44886,0.015439694,7101,8981287,F-FAMILY GROUP 1342,1,92,415,41856,2768,6.17,52473
7440,8981618,F-CHOBANI GREEK 5.3OZ,NOS Davidson,13.59000015,1,24,107,40930,44393,0.015270114,7452,8981630,F-CHOBANI YGRT 5.3OZ 1017,1,97,377,39636,1345,3.03,45468
7136,8981322,F-BYET BUTTER 16OZ 242,BUTTER,4.590000153,1,25,6,27233,44154,0.015187904,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,3219,7.29,45468
7136,8981322,F-BYET BUTTER 16OZ 242,BUTTER,4.590000153,1,25,6,27233,44154,0.015187904,15949,8719,BYET GRADE A LARGE WHITE,0,20,12,35789,2899,6.57,45468
46216,91908,TOMATOES CLUSTER ON THE VINE,VEG,2.99000001,0,27,38,36412,43635,0.01500938,45865,94194,CUCUMBER S/S,0,21,88,42632,4503,10.32,45468
46216,91908,TOMATOES CLUSTER ON THE VINE,VEG,2.99000001,0,27,38,36412,43635,0.01500938,45826,93944,LETTUCE ICEBERG,0,59,93,36387,2982,6.83,45468
7281,8981461,F-COFFEEMATE 32FO 497,NOS Davidson,5.190000057,1,28,7,22207,42563,0.014640638,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,2380,5.59,45468
63880,5.10E+13,ITALIAN BREAD (PAPER),RDM WT MISC-BKY,2.99000001,0,31,54,36730,38332,0.013185277,8618,8981153,F-BARILLA PASTA 99,1,11,37,38834,1912,4.99,52473
8623,8981158,F-RONZONI PASTA 480,PASTA,NA,1,32,122,39111,36453,0.012538947,8762,8980023,F-PREGO PASTA SAUCE 260,1,83,117,32490,1828,5.01,45468
8623,8981158,F-RONZONI PASTA 480,PASTA,NA,1,32,122,39111,36453,0.012538947,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,1797,4.93,45468
61570,5.10E+12,P5 BEEF GROUND 80% LEAN,NA,0,0,34,10,43732,35798,0.012313643,61060,5.10E+13,FRESH PICK 5 BASILIO BUDA FRSH SAUSA,0,37,16,22200,3928,10.97,61556
61570,5.10E+12,P5 BEEF GROUND 80% LEAN,NA,0,0,34,10,43732,35798,0.012313643,61556,5.10E+12,P5 PORK BONELESS PORK CHOPS,0,135,75,43719,2795,7.81,61060
46315,94299,BROCCOLI CROWNS ASIAN,VEG,2.49000001,0,35,73,38637,35750,0.012297132,45909,9.41E+04,PEPPERS GREEN MED/LG,0,15,64,40548,2607,7.29,45468
46315,94299,BROCCOLI CROWNS ASIAN,VEG,2.49000001,0,35,73,38637,35750,0.012297132,45865,94194,CUCUMBER S/S,0,21,88,42632,2434,6.81,45468
9013,8980252,F-BYET ICE CREAM 48FO 94,NOS Davidson,4.190000057,1,36,34,29672,34120,0.011736451,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1685,4.94,45468
61060,5.10E+13,FRESH PICK 5 BASILIO BUDA FRSH SAUSA,RDM WT MISC-MT,5.389999866,0,37,16,22200,33693,0.011589574,61570,5.10E+12,P5 BEEF GROUND 80% LEAN,0,34,10,43732,3928,11.66,61556
61060,5.10E+13,FRESH PICK 5 BASILIO BUDA FRSH SAUSA,RDM WT MISC-MT,5.389999866,0,37,16,22200,33693,0.011589574,308271,5.10E+13,P5 BEEF GROUND 80% LEAN,0,56,25,21617,2552,7.57,61556
7279,8981459,F-INTERNATIONAL DELIGHT CREAMERS,CREAMERS,4.889999866,1,38,23,25907,33415,0.011493948,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,2094,6.27,45468
51134,71330601380,FREIHOFER WHITE ITALIANO BREAD,DSD-GROC-PKG BAKERY,4.289999962,0,40,47,28903,31864,0.010960442,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,2190,6.87,45468
60768,5.10E+13,FRESH GROUND BEEF 80% LEAN 20% FAT R,RDM WT MISC-MT,5.489999771,0,41,15,21860,31644,0.010884767,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,1683,5.32,45468
46003,94240,YELLOW CORN 48CT,VEG,0.889999986,0,42,77,42919,31421,0.010808061,45484,93172,WATERMELON RED SEEDLESS,0,48,27,12117,3549,11.29,45468
46003,94240,YELLOW CORN 48CT,VEG,0.889999986,0,42,77,42919,31421,0.010808061,7136,8981322,F-BYET BUTTER 16OZ 242,1,25,6,27233,1756,5.59,45484
8291,8980831,F-KNORR PSTA/RCE SCE 82,DINNERS,1.99000001,1,43,197,40809,31300,0.01076644,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1303,4.16,45468
51055,42187500409,BEST YET ROUND TOP WHT BREAD,DSD-GROC-PKG BAKERY,2.589999914,0,45,80,38280,29679,0.010208855,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,3759,12.67,52473
45484,93172,WATERMELON RED SEEDLESS,FRUIT,7.989999771,0,48,27,12117,28777,0.009898589,46003,94240,YELLOW CORN 48CT,0,42,77,42919,3549,12.33,45468
45484,93172,WATERMELON RED SEEDLESS,FRUIT,7.989999771,0,48,27,12117,28777,0.009898589,60769,5.10E+13,GRND BEEF 80% LEAN 20% BP,0,12,1,22544,1794,6.23,60852
46070,94024,ONIONS SWEET,VEG,1.289999962,0,49,283,42184,28696,0.009870727,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,4636,16.16,45468
46070,94024,ONIONS SWEET,VEG,1.289999962,0,49,283,42184,28696,0.009870727,46213,94180,TOMATO HOT HOUSE,0,22,33,36411,1778,6.20,45468
45731,93738,AVOCADO HASS GREEN 40,FRUIT,3.690000057,0,50,82,32743,28469,0.009792645,46216,91908,TOMATOES CLUSTER ON THE VINE,0,27,38,36412,2169,7.62,45468
45731,93738,AVOCADO HASS GREEN 40,FRUIT,3.690000057,0,50,82,32743,28469,0.009792645,46213,94180,TOMATO HOT HOUSE,0,22,33,36411,2014,7.07,45468
9118,8980350,F-SUGARDALE 1LB BACON 7000,BACON,NA,1,51,31,10536,27721,0.009535351,15949,8719,BYET GRADE A LARGE WHITE,0,20,12,35789,3018,10.89,7196
9118,8980350,F-SUGARDALE 1LB BACON 7000,BACON,NA,1,51,31,10536,27721,0.009535351,60769,5.10E+13,GRND BEEF 80% LEAN 20% BP,0,12,1,22544,1501,5.41,45468
8541,8981078,F-HELLMANNS MAYO 30FO,MAYO/TARTAR SCE/SAND SPRD,6.989999771,1,52,20,15718,27217,0.009361987,60769,5.10E+13,GRND BEEF 80% LEAN 20% BP,0,12,1,22544,1636,6.01,45468
7578,8981754,F-STFR DINNERS 251,DINNERS/ENTREES,4.989999771,1,53,39,24729,27134,0.009333437,7581,8981757,F-STFR CLASSICS 10-12Z 669,1,612,883,28660,1519,5.60,45468
60770,5.10E+13,FRESH GROUND BEEF 85% LEAN 15% FAT,RDM WT MISC-MT,6.190000057,0,55,21,17903,26782,0.009212358,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,1276,4.76,52473
308271,5.10E+13,P5 BEEF GROUND 80% LEAN,RDM WT MISC-MT,5.489999771,0,56,25,21617,26601,0.009150098,61060,5.10E+13,FRESH PICK 5 BASILIO BUDA FRSH SAUSA,0,37,16,22200,2552,9.59,61556
308271,5.10E+13,P5 BEEF GROUND 80% LEAN,RDM WT MISC-MT,5.489999771,0,56,25,21617,26601,0.009150098,61556,5.10E+12,P5 PORK BONELESS PORK CHOPS,0,135,75,43719,2005,7.54,308285
7300,8981479,F-HELAVA GOOD DIP 1403,DIPS/SALSA,3.49000001,1,58,81,34373,25972,0.008933737,55418,28400310468,LAYS PARTY WAVY,0,208,134,19015,1945,7.49,52473
45826,93944,LETTUCE ICEBERG,VEG,2.99000001,0,59,93,36387,25846,0.008890396,46213,94180,TOMATO HOT HOUSE,0,22,33,36411,3588,13.88,45468
45826,93944,LETTUCE ICEBERG,VEG,2.99000001,0,59,93,36387,25846,0.008890396,46216,91908,TOMATOES CLUSTER ON THE VINE,0,27,38,36412,2982,11.54,45468
7255,8981435,F-CABOT SHREDS 8OZ 208,CHEESE,4.590000153,1,61,69,27239,25472,0.008761749,7157,8981342,F-CABOT BARS 8OZ 135,1,13,13,27234,1802,7.07,45468
15952,9391,BYET GRADE A LGE WHT 18PK,EGGS,4.590000153,0,62,22,26888,25294,0.008700522,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,2662,10.52,45468
45560,93400,LEMONS CALIF. FANCY 95CT,FRUIT,0.99000001,0,64,228,42630,25055,0.008618311,41389,87457,SHELF DUMMY CARDBOARD WHITE,0,94,195,42913,3823,15.26,45468
45560,93400,LEMONS CALIF. FANCY 95CT,FRUIT,0.99000001,0,64,228,42630,25055,0.008618311,45731,93738,AVOCADO HASS GREEN 40,0,50,82,32743,1513,6.04,45468
8865,8980122,F-CAMPBLL SOUPS 591,SOUP,2.390000105,1,66,163,39117,24993,0.008596985,8880,8980137,F-Family group 5877,1,446,1347,39121,1532,6.13,45468
8845,8980102,F-Family Group 1737,SODA,1.289999962,1,67,349,42252,24192,0.00832146,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1167,4.82,52473
8845,8980102,F-Family Group 1737,SODA,1.289999962,1,67,349,42252,24192,0.00832146,51055,42187500409,BEST YET ROUND TOP WHT BREAD,0,45,80,38280,801,3.31,52473
64088,42187011370,BEST YET 1% MILK,NA,3.690000057,0,68,63,32880,24148,0.008306326,15949,8719,BYET GRADE A LARGE WHITE,0,20,12,35789,1783,7.38,45468
64088,42187011370,BEST YET 1% MILK,NA,3.690000057,0,68,63,32880,24148,0.008306326,8517,8981054,F-Family Group 161,1,176,166,26772,1149,4.76,45468
8631,8981166,F-Family Group 1475,PASTA,NA,1,69,314,40939,24131,0.008300478,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,1622,6.72,45468
46069,94016,ONIONS RED JUMBO 25LB BULK,VEG,1.99000001,0,70,308,40557,23861,0.008207604,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,2994,12.55,45468
46069,94016,ONIONS RED JUMBO 25LB BULK,VEG,1.99000001,0,70,308,40557,23861,0.008207604,45865,94194,CUCUMBER S/S,0,21,88,42632,2446,10.25,45468
60847,5.10E+13,CHICKEN THIGHS BIG PACK,RDM WT MISC-MT,1.789999962,0,73,51,41112,23703,0.008153256,60846,5.10E+13,CHICKEN DRUMSTICKS,0,133,160,41111,2047,8.64,45468
60847,5.10E+13,CHICKEN THIGHS BIG PACK,RDM WT MISC-MT,1.789999962,0,73,51,41112,23703,0.008153256,7136,8.98E+06,F-BYET BUTTER 16OZ 242,1,25,6,27233,878,3.70,45468
51133,71330601342,FREIH PREM SRDOUGH ITAL BREAD,DSD-GROC-PKG BAKERY,4.289999962,0,74,78,28902,23640,0.008131586,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1421,6.01,45468
7156,8981341,F-BYET BAR CHEESE 8OZ 64,CHEESE,3.789999962,1,75,83,32418,23486,0.008078614,15949,8719,BYET GRADE A LARGE WHITE,0,20,12,35789,1850,7.88,45468
9021,8980259,F-HOOD ICE CREAM  48FO 22,NOS Davidson,3.99000001,1,77,56,22653,23427,0.008058319,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1023,4.37,45468
7140,8981326,F-CABOT BUTTER QTRS 752,BUTTER,5.989999771,1,78,46,19222,23190,0.007976797,38637,623055,PLND SPR TUXEDO 24CT,0,26,5,14939,1984,8.56,60769
7140,8981326,F-CABOT BUTTER QTRS 752,BUTTER,5.989999771,1,78,46,19222,23190,0.007976797,7157,8981342,F-CABOT BARS 8OZ 135,1,13,13,27234,1977,8.53,45468
7262,8981442,F-SARGENTO SHRED 8OZ  53,CHEESE,4.989999771,1,80,62,24600,22332,0.007681666,8557,8981094,F-OLD EL PASO SEASONING 1Z 424,1,122,503,40822,1191,5.33,46757
7714,8981886,F-MCCAIN FRIED POTATOES 231,POTATOES/PIEROGIES,4.789999962,1,81,67,26380,22212,0.007640389,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1377,6.20,52473
9150,8980382,F-RESERS POTATOES,NOS Davidson,4.590000153,1,82,55,22667,22184,0.007630757,9150,8980382,F-RESERS POTATOES,1,408,407,31451,1867,8.42,52473
8762,8980023,F-PREGO PASTA SAUCE 260,NOS Davidson,6.789999962,1,83,117,32490,21961,0.007554051,8618,8981153,F-BARILLA PASTA 99,1,11,37,38834,2868,13.06,45468
8762,8980023,F-PREGO PASTA SAUCE 260,NOS Davidson,6.789999962,1,83,117,32490,21961,0.007554051,8623,8981158,F-RONZONI PASTA 480,1,32,122,39111,1828,8.32,45468
45643,95882,RED GRAPE BAG 1.5 LB,FRUIT,6.190000057,0,84,48,17880,21932,0.007544075,45642,95881,GREEN GRAPE BAG 1.5 LB IMP,0,39,18,17879,1536,7.00,45468
45998,94389,ASPARAGUS 94390,VEG,5.190000057,0,85,71,22996,21481,0.007388942,46315,94299,BROCCOLI CROWNS ASIAN,0,35,73,38637,1864,8.68,45468
45998,94389,ASPARAGUS 94390,VEG,5.190000057,0,85,71,22996,21481,0.007388942,60852,5.10E+13,CHICKEN BNLS SKINLESS BREAST,0,10,2,30693,1186,5.52,45468
8713,8979976,F-B YET DRESSINGS 16FO,SALAD DRESSING/RTE DIPS,3.190000057,1,86,165,35746,21454,0.007379655,45865,94194,CUCUMBER S/S,0,21,88,42632,1761,8.21,45468
8713,8979976,F-B YET DRESSINGS 16FO,SALAD DRESSING/RTE DIPS,3.190000057,1,86,165,35746,21454,0.007379655,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,1336,6.23,45468
9166,8980397,F-LUNCHABLES 59,LUNCH PACKS,NA,1,87,96,33736,21342,0.00734113,9165,8980396,F-OM LUNCHABLES,1,136,218,37213,1437,6.73,52473
46215,94174,TOMATO ROMA SFM,VEG,0,0,88,260,43502,21228,0.007301916,45865,94194,CUCUMBER S/S,0,21,88,42632,2206,10.39,45468
46215,94174,TOMATO ROMA SFM,VEG,0,0,88,260,43502,21228,0.007301916,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,1674,7.89,45468
7583,8981759,F-BANQUET DINNERS 1248,DINNERS/ENTREES,2.99000001,1,89,230,36806,21030,0.007233809,7578,8981754,F-STFR DINNERS 251,1,53,39,24729,739,3.51,45468
46155,94066,BAG PREM RUSSETS 5LB,VEG,3.99000001,0,91,89,30476,20783,0.007148847,15949,8719,BYET GRADE A LARGE WHITE,0,20,12,35789,1641,7.90,7156
46155,94066,BAG PREM RUSSETS 5LB,VEG,3.99000001,0,91,89,30476,20783,0.007148847,7136,8981322,F-BYET BUTTER 16OZ 242,1,25,6,27233,1400,6.74,45468
7101,8981287,F-FAMILY GROUP 1342,CANDY BARS,1.49000001,1,92,415,41856,20325,0.006991306,7100,8981286,F-FAMILY GROUP 1341,1,23,104,41521,2768,13.62,52473
7135,8981321,F-LOL BUTTER 16OZ 241,BUTTER,6.389999866,1,93,49,17342,20303,0.006983739,9117,8980349,F-14 OM BACON 1LB 6934,1,138,43,8676,1895,9.33,45484
41389,87457,SHELF DUMMY CARDBOARD WHITE,STORE SUPPLIES,0.889999986,0,94,195,42913,20295,0.006980987,45560,93400,LEMONS CALIF. FANCY 95CT,0,64,228,42630,3823,18.84,45468
41389,87457,SHELF DUMMY CARDBOARD WHITE,STORE SUPPLIES,0.889999986,0,94,195,42913,20295,0.006980987,45731,93738,AVOCADO HASS GREEN 40,0,50,82,32743,1877,9.25,45468
54024,12000504051,PEPSI COLA 6PK/16.9OZ,DSD-GROC-SODA/DRINKS,7.989999771,0,96,44,12244,19947,0.006861284,54026,12000504082,MT DEW 6PK/16.9OZ,0,167,97,12245,3401,17.05,52478
7452,8981630,F-CHOBANI YGRT 5.3OZ 1017,YOGURT,2.190000057,1,97,377,39636,19947,0.006861284,7440,8981618,F-CHOBANI GREEK 5.3OZ,1,24,107,40930,1345,6.74,45468
51051,42187220178,BEST YET HAMBURGER ROLL 8PK,DSD-GROC-PKG BAKERY,2.589999914,0,99,190,38278,19545,0.006723005,51052,42187220185,BEST YET HOT DOG ROLL 8PK,0,118,223,38279,4152,21.24,52473
51051,42187220178,BEST YET HAMBURGER ROLL 8PK,DSD-GROC-PKG BAKERY,2.589999914,0,99,190,38278,19545,0.006723005,60769,5.10E+13,GRND BEEF 80% LEAN 20% BP,0,12,1,22544,1978,10.12,51052
9152,8980383,F- 14 BOB EVANS SIDES 6935,FRESH PREPARED FOODS,5.989999771,1,100,61,19687,19526,0.00671647,9152,8980383,F- 14 BOB EVANS SIDES 6935,1,626,571,19686,1323,6.78,45468
47068,462550,PURPLE SUPER COLSL GARLIC 30LB,VEG,3.99000001,0,106,729,30510,18575,0.006389349,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,1625,8.75,45468
47068,462550,PURPLE SUPER COLSL GARLIC 30LB,VEG,3.99000001,0,106,729,30510,18575,0.006389349,46070,94024,ONIONS SWEET,0,49,283,42184,1494,8.04,45468
46158,9.40E+04,IDAHO POTATO 80 CT,VEG,1.690000057,0,107,139,41273,18426,0.006338096,46070,94024,ONIONS SWEET,0,49,283,42184,1073,5.82,45468
46158,9.40E+04,IDAHO POTATO 80 CT,VEG,1.690000057,0,107,139,41273,18426,0.006338096,45909,9.41E+04,PEPPERS GREEN MED/LG,0,15,64,40548,1016,5.51,45468
7775,8979710,F-BYET FRZ VEGS STEAMABLE 12Z 311,VEGETABLES,2.589999914,1,109,323,38354,18352,0.006312642,60852,5.10E+13,CHICKEN BNLS SKINLESS BREAST,0,10,2,30693,925,5.04,45468
7775,8979710,F-BYET FRZ VEGS STEAMABLE 12Z 311,VEGETABLES,2.589999914,1,109,323,38354,18352,0.006312642,7774,8979709,F-BYET FROZEN VEGS 16Z 209,1,171,398,38114,836,4.56,45468
7196,8981380,F-BYET CRM CHS BAR 8OZ 981,CHEESE,2.190000057,1,110,264,39633,18150,0.006243159,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,2081,11.47,52473
7196,8981380,F-BYET CRM CHS BAR 8OZ 981,CHEESE,2.190000057,1,110,264,39633,18150,0.006243159,15949,8719,BYET GRADE A LARGE WHITE,0,20,12,35789,1856,10.23,9118
60771,5.10E+13,GROUND BEEF 90% LEAN 10% FAT,RDM WT MISC-MT,6.690000057,0,111,40,16351,17763,0.006110041,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,865,4.87,45468
46005,93878,CABBAGE GREEN,VEG,0.99000001,0,112,256,42633,17579,0.006046749,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,1072,6.10,45468
46005,93878,CABBAGE GREEN,VEG,0.99000001,0,112,256,42633,17579,0.006046749,307931,5.10E+13,CORNED BEEF POINTS,0,1533,266,4095,849,4.83,45468
61235,5.10E+12,GRND BEEF 85% LEAN 15% FAT BP,NA,0,0,114,17,43566,17428,0.005994809,60852,5.10E+13,CHICKEN BNLS SKINLESS BREAST,0,10,2,30693,957,5.49,45468
61235,5.10E+12,GRND BEEF 85% LEAN 15% FAT BP,NA,0,0,114,17,43566,17428,0.005994809,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,924,5.30,45468
46971,447384,PEPPERS RED,VEG,0.01,0,115,247,43124,17374,0.005976234,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,4233,24.36,45468
46971,447384,PEPPERS RED,VEG,0.01,0,115,247,43124,17374,0.005976234,45865,94194,CUCUMBER S/S,0,21,88,42632,1688,9.72,45468
7162,8981347,F-HELUVA GOOD CHSE STICK 1404,CHEESE,2.99000001,1,116,153,36766,17267,0.005939429,45865,94194,CUCUMBER S/S,0,21,88,42632,792,4.59,45468
9103,8.98E+06,F-Family Group 278,FROZEN BREAKFAST SAUSAGE,2.49000001,1,117,298,38848,17264,0.005938397,15949,8719,BYET GRADE A LARGE WHITE,0,20,12,35789,1302,7.54,45468
51052,4.22E+10,BEST YET HOT DOG ROLL 8PK,DSD-GROC-PKG BAKERY,2.589999914,0,118,223,38279,17167,0.005905031,51051,42187220178,BEST YET HAMBURGER ROLL 8PK,0,99,190,38278,4152,24.19,52473
8293,8980833,F-CHEF BOY RD CANNED MEALS 330,DINNERS,1.99000001,1,120,416,40811,17129,0.00589196,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,975,5.69,52473
7743,8981915,F-BIRDSEYE VEGS 10Z 263,VEGETABLES,2.49000001,1,121,435,38822,17094,0.005879921,7740,8.98E+06,F-BE FROZEN VEGETABLES,1,242,441,35724,1027,6.01,45468
7743,8981915,F-BIRDSEYE VEGS 10Z 263,VEGETABLES,2.49000001,1,121,435,38822,17094,0.005879921,7752,8981924,F-Family Group 2215,1,694,1393,33516,858,5.02,45468
8557,8981094,F-OLD EL PASO SEASONING 1Z 424,MEXICAN FOODS,1.99000001,1,122,503,40822,17092,0.005879233,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,2714,15.88,46757
8557,8981094,F-OLD EL PASO SEASONING 1Z 424,MEXICAN FOODS,1.99000001,1,122,503,40822,17092,0.005879233,46757,99817,FE SHREDDED LETTUCE,0,105,159,36448,2154,12.60,7254
8710,8979973,F-KENS SALAD DRESSING 16OZ 13,SALAD DRESSING/RTE DIPS,4.389999866,1,123,124,28695,17074,0.005873041,45865,94194,CUCUMBER S/S,0,21,88,42632,1229,7.20,45468
53624,12000001291,PEPSI 20OZ BOTTLE,DSD-GROC-SODA/DRINKS,2.99000001,0,124,212,36572,17000,0.005847587,53626,12000001314,MOUNTAIN DEW 20Z BOTTLE,0,142,241,36573,919,5.41,52473
45874,94206,CUCUMBER HYDRO,VEG,2.289999962,0,125,233,39264,16904,0.005814565,45909,94110,PEPPERS GREEN MED/LG,0,15,64,40548,1458,8.63,45468
45874,94206,CUCUMBER HYDRO,VEG,2.289999962,0,125,233,39264,16904,0.005814565,46216,91908,TOMATOES CLUSTER ON THE VINE,0,27,38,36412,1326,7.84,45468
8682,8979945,F-IDAHO POTATOS DRIED 4Z 635,POTATOES/YAMS/BOXED MIXES,2.390000105,1,126,422,39113,16809,0.005781888,8291,8980831,F-KNORR PSTA/RCE SCE 82,1,43,197,40809,830,4.94,45468
39886,250214,B YET GRANULATED SUGAR,SUGAR,4.289999962,0,127,126,28879,16731,0.005755058,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1398,8.36,45468
39886,250214,B YET GRANULATED SUGAR,SUGAR,4.289999962,0,127,126,28879,16731,0.005755058,7136,8981322,F-BYET BUTTER 16OZ 242,1,25,6,27233,1293,7.73,45468
8271,8.98E+06,F-BC HAM HLPR 34,DINNERS,2.99000001,1,128,248,37057,16710,0.005747834,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1118,6.69,52473
7291,8981470,F-COFFEEMATE CREAMER 64FO 6840,CREAMERS,8.590000153,1,130,29,10771,16579,0.005702773,64093,42187203249,BEST YET HOMOGENIZED MILK,0,6,4,30718,1394,8.41,52473
61766,5.10E+13,LARGE SUB - MADE TO ORDER,RDM WT PREPARED COLD FOODS-DL,7.489999771,0,132,41,13653,16345,0.005622283,309163,5.10E+13,SMALL SUB MADE TO ORDER,0,950,945,37844,433,2.65,52473
60846,5.10E+13,CHICKEN DRUMSTICKS,RDM WT MISC-MT,1.789999962,0,133,160,41111,16205,0.005574126,60847,5.10E+13,CHICKEN THIGHS BIG PACK,0,73,51,41112,2047,12.63,45468
60846,5.10E+13,CHICKEN DRUMSTICKS,RDM WT MISC-MT,1.789999962,0,133,160,41111,16205,0.005574126,7254,8981434,F-BYET SHRED CHSE 8OZ 63,1,8,9,35700,629,3.88,38638
8765,8980026,F-HUNTS PASTA SAUCES 24OZ 106,SAUCE,NA,1,134,517,39115,16168,0.005561399,8618,8981153,F-BARILLA PASTA 99,1,11,37,38834,1164,7.20,45468
